name,serving_size,energy_kcal,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,label
Marie duo,1 g,15.0,1.0,14.0,3.5,5.0,85.0,1.0,Kurang Sehat
Kacang lebui / iris,3.60 g,346.0,16.5,66.6,1.5,0.0,17.0,37.3,Sehat
Baked lotus paste mooncake with two egg yolks,0.85 g,223.0,4.05,20.5,13.79,0.0,0.0,0.85,Sehat
Cumi-cumi,0.90 g,75.0,16.1,0.1,0.7,0.0,37.0,0.0,Sehat
Kunyit,Tidak Diketahui,1.3,69.0,2.0,9.1,2.7,0.0,6.0,Sehat
Coklat silverqueen almond,4 g,170.0,4.0,14.0,11.0,11.0,0.0,0.0,Kurang Sehat
Daun gedi besar,Tidak Diketahui,2.4,58.0,2.9,10.0,0.7,0.0,30.0,Sehat
Kopi hitam tanpa gula,0.28 g,2.0,0.28,0.09,0.05,0.0,0.0,0.0,Sehat
Tumis keumamah,4.30 g,300.0,14.5,15.5,20.0,0.0,0.0,4.5,Kurang Sehat
Regal Biskuit Marie,1 g,70.0,1.0,12.0,2.0,0.0,45.0,0.0,Sehat
Teh hijau daun kering,5.60 g,300.0,28.3,53.6,4.8,0.0,60.0,9.6,Sehat
Susu ultra milk rasa coklat 200 ml,6 g,160.0,6.0,24.0,4.0,0.0,45.0,0.0,Sehat
Frisian flag putih (kental manis),1 g,140.0,1.0,23.0,4.0,19.0,0.0,0.0,Kurang Sehat
Sedaap Kecap Manis,1 g,70.0,1.0,16.0,0.0,13.0,290.0,0.0,Kurang Sehat
Outback steackhouse slow roasted prime rib,46 g,700.0,46.0,0.0,57.0,0.0,0.0,0.0,Kurang Sehat
Es krim Diamond vanilla,2 g,110.0,2.0,12.0,6.0,9.0,0.0,0.0,Kurang Sehat
Taoge kacang kedelai,Tidak Diketahui,1.0,76.0,9.0,6.4,2.6,0.0,5.0,Sehat
Renggi Goreng,0.60 g,471.0,4.7,64.1,21.8,0.0,126.0,6.4,Kurang Sehat
Saus Char siu (chinese BBQ),0 g,60.0,0.0,14.0,0.0,13.0,0.0,0.0,Kurang Sehat
Daun kedongdong,Tidak Diketahui,1.8,59.0,3.5,13.4,0.3,0.0,12.0,Sehat
Semur jengkol,2.20 g,212.0,6.0,29.1,10.0,0.0,0.0,0.0,Sehat
Biokul natural set yogurt,5 g,70.0,5.0,10.0,1.0,3.0,0.0,0.0,Sehat
Kambose,0.70 g,164.0,3.0,32.6,2.4,0.0,0.0,4.3,Sehat
Sarden ABC saus tomat,12 g,100.0,12.0,9.0,2.0,2.0,0.0,0.0,Sehat
Nasi gurih,1.30 g,190.0,4.7,26.0,7.5,0.0,296.0,0.7,Sehat
You C100 Orange water,0 g,160.0,0.0,40.0,0.0,40.0,0.0,0.0,Kurang Sehat
Diamond Milk Susu UHT Full Cream,6 g,120.0,6.0,10.0,6.0,0.0,100.0,0.0,Sehat
Kacang tolo / tunggak,3.60 g,331.0,24.4,56.6,1.9,0.0,15.0,1.6,Sehat
Keripik tempe abadi besar,2.80 g,556.0,15.8,39.8,37.1,0.0,0.0,3.5,Kurang Sehat
Sunduk lawang,1 g,181.0,1.9,32.4,1.3,0.0,0.0,0.0,Sehat
Susu Ultra Milk Rasa coklat 1000 ml,8 g,45.0,8.0,30.0,5.0,24.0,55.0,0.0,Sehat
Padamaran,0.80 g,171.0,3.9,18.8,8.9,0.0,0.0,0.0,Sehat
Karawila,0.30 g,25.0,2.3,3.5,0.2,0.0,8.0,2.1,Sehat
Nutrisari Yuzu Orange,0 g,45.0,0.0,10.0,0.0,9.0,20.0,0.0,Kurang Sehat
Kue bangen,2.20 g,442.0,3.3,74.2,14.7,0.0,0.0,0.0,Kurang Sehat
Burger Carl's Jr the big carl,3 g,920.0,47.0,56.0,58.0,12.0,0.0,3.0,Kurang Sehat
Coklat manis batang,4.10 g,527.0,2.0,62.7,29.8,0.0,6.0,6.5,Kurang Sehat
Moon tahu,0.80 g,128.0,8.0,1.3,10.0,0.0,393.0,0.2,Sehat
Bakwan,2.10 g,280.0,8.2,39.0,10.2,0.0,0.0,3.4,Sehat
Roti boong,1 g,341.0,5.5,43.3,16.2,0.0,161.0,0.0,Kurang Sehat
nestle honey star sereal,1 g,110.0,1.0,25.0,1.0,0.0,10.0,0.0,Sehat
Es krim Wall's oreo chocolate,1 g,140.0,2.0,21.0,4.0,15.0,0.0,1.0,Sehat
Onde-onde,0.60 g,336.0,4.0,57.9,9.8,0.0,0.0,0.0,Kurang Sehat
Sarimi isi 2 ayam bawang,3 g,510.0,13.0,70.0,20.0,3.0,0.0,3.0,Kurang Sehat
Mie Kuah Gaga 100 Xtra Pedas  Jalapeno,9 g,120.0,9.0,43.0,13.0,2.0,1320.0,0.0,Kurang Sehat
Kin bulgarian style yogurt strawberry,4 g,35.0,4.0,29.0,3.5,27.0,50.0,0.0,Kurang Sehat
Lumai / leunca,Tidak Diketahui,0.5,38.0,1.1,7.6,0.3,0.0,2.0,Sehat
Keripik tempe abadi prima,2.60 g,540.0,16.7,42.0,33.9,0.0,0.0,2.2,Kurang Sehat
Hokben Chicken karaage,25 g,340.0,25.0,15.0,20.5,0.0,0.0,0.0,Kurang Sehat
Kwaci,3.70 g,515.0,30.6,13.8,42.1,0.0,124.0,13.6,Kurang Sehat
Sawo duren,0.60 g,64.0,1.0,8.0,3.1,0.0,13.0,0.8,Sehat
Subway Turkey breast sandwich,5 g,280.0,18.0,46.0,3.5,7.0,0.0,5.0,Kurang Sehat
Qtela Tempe,4 g,110.0,4.0,8.0,7.0,0.0,0.0,0.0,Sehat
Marie salut cokelat,1 g,90.0,1.0,13.0,3.5,6.0,35.0,0.0,Kurang Sehat
Nabati HANSEL,2 g,70.0,2.0,7.0,4.0,5.0,30.0,0.0,Kurang Sehat
Kacang panjang biji,0.40 g,357.0,17.3,68.6,1.5,0.0,16.0,10.6,Sehat
