name,serving_size,energy_kcal,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,nutrition_score,label
Marie duo,1 g,15.0,1.0,14.0,3.5,5.0,85.0,1.0,4.0,Kurang Sehat
Kacang lebui / iris,3.60 g,346.0,16.5,66.6,1.5,0.0,17.0,37.3,3.0,Kurang Sehat
Baked lotus paste mooncake with two egg yolks,0.85 g,223.0,4.05,20.5,13.79,0.0,0.0,0.85,1.5,Sehat
Cumi-cumi,0.90 g,75.0,16.1,0.1,0.7,0.0,37.0,0.0,1.5,Sehat
Kunyit,Tidak Diketahui,1.3,69.0,2.0,9.1,2.7,0.0,6.0,3.0,Kurang Sehat
Coklat silverqueen almond,4 g,170.0,4.0,14.0,11.0,11.0,0.0,0.0,5.0,Tidak Sehat
Daun gedi besar,Tidak Diketahui,2.4,58.0,2.9,10.0,0.7,0.0,30.0,3.0,Kurang Sehat
Kopi hitam tanpa gula,0.28 g,2.0,0.28,0.09,0.05,0.0,0.0,0.0,0.0,Sehat
Tumis keumamah,4.30 g,300.0,14.5,15.5,20.0,0.0,0.0,4.5,1.5,Sehat
Regal Biskuit Marie,1 g,70.0,1.0,12.0,2.0,0.0,45.0,0.0,2.5,Kurang Sehat
Teh hijau daun kering,5.60 g,300.0,28.3,53.6,4.8,0.0,60.0,9.6,3.0,Kurang Sehat
Susu ultra milk rasa coklat 200 ml,6 g,160.0,6.0,24.0,4.0,0.0,45.0,0.0,3.0,Kurang Sehat
Frisian flag putih (kental manis),1 g,140.0,1.0,23.0,4.0,19.0,0.0,0.0,3.0,Kurang Sehat
Sedaap Kecap Manis,1 g,70.0,1.0,16.0,0.0,13.0,290.0,0.0,5.0,Tidak Sehat
Outback steackhouse slow roasted prime rib,46 g,700.0,46.0,0.0,57.0,0.0,0.0,0.0,1.5,Sehat
Es krim Diamond vanilla,2 g,110.0,2.0,12.0,6.0,9.0,0.0,0.0,2.5,Kurang Sehat
Taoge kacang kedelai,Tidak Diketahui,1.0,76.0,9.0,6.4,2.6,0.0,5.0,3.0,Kurang Sehat
Renggi Goreng,0.60 g,471.0,4.7,64.1,21.8,0.0,126.0,6.4,4.5,Tidak Sehat
Saus Char siu (chinese BBQ),0 g,60.0,0.0,14.0,0.0,13.0,0.0,0.0,2.5,Kurang Sehat
Daun kedongdong,Tidak Diketahui,1.8,59.0,3.5,13.4,0.3,0.0,12.0,0.5,Sehat
Semur jengkol,2.20 g,212.0,6.0,29.1,10.0,0.0,0.0,0.0,2.0,Sehat
Biokul natural set yogurt,5 g,70.0,5.0,10.0,1.0,3.0,0.0,0.0,1.5,Sehat
Kambose,0.70 g,164.0,3.0,32.6,2.4,0.0,0.0,4.3,0.5,Sehat
Sarden ABC saus tomat,12 g,100.0,12.0,9.0,2.0,2.0,0.0,0.0,1.5,Sehat
Nasi gurih,1.30 g,190.0,4.7,26.0,7.5,0.0,296.0,0.7,4.5,Tidak Sehat
You C100 Orange water,0 g,160.0,0.0,40.0,0.0,40.0,0.0,0.0,4.0,Kurang Sehat
Diamond Milk Susu UHT Full Cream,6 g,120.0,6.0,10.0,6.0,0.0,100.0,0.0,1.5,Sehat
