name;serving_size;energy_kcal;protein_g;carbohydrate_g;fat_g;sugar_g;sodium_mg;fiber_g
Ikan sunu; mentah;Tidak Diketahui;20.30 g;199.0;34.1;7.1;3.8;0.0
Soto pekalongan;Tidak Diketahui;1.30 g;94.0;3.0;5.1;6.8;0.0;0.0
Marie duo;1 g;15.0;1.0;14.0;3.5;5.0;85.0;1.0
Kaparende;Tidak Diketahui;1.30 g;38.0;2.4;2.6;2.0;0.0;170.0
Kacang lebui / iris;3.60 g;346.0;16.5;66.6;1.5;0.0;17.0;37.3
The coffe bean & tea leaf pure vanilla ice blended drink;15 g;410.0;15.0;70.0;9.0;63.0;0.0;0.0
Dairy queen banana split;4 g;520.0;9.0;92.0;14.0;72.0;0.0;4.0
Gembili; segar;Tidak Diketahui;1 g;131.0;1.1;31.3;0.2;0.0
Baked lotus paste mooncake with two egg yolks;0.85 g;223.0;4.05;20.5;13.79;0.0;0.0;0.85
Cumi-cumi;0.90 g;75.0;16.1;0.1;0.7;0.0;37.0;0.0
Kunyit;Tidak Diketahui;1.30 g;69.0;2.0;9.1;2.7;0.0;6.0
The coffe bean & tea leaf black forest ice blended drink;12 g;490.0;12.0;89.0;10.0;76.0;0.0;0.0
Coklat silverqueen almond;4 g;170.0;4.0;14.0;11.0;11.0;0.0;0.0
Daun gedi besar;Tidak Diketahui;2.40 g;58.0;2.9;10.0;0.7;0.0;30.0
Kopi hitam tanpa gula;0.28 g;2.0;0.28;0.09;0.05;0.0;0.0;0.0
Tumis keumamah;4.30 g;300.0;14.5;15.5;20.0;0.0;0.0;4.5
Regal Biskuit Marie;1 g;70.0;1.0;12.0;2.0;0.0;45.0;0.0
Teh hijau daun kering;5.60 g;300.0;28.3;53.6;4.8;0.0;60.0;9.6
Susu ultra milk rasa coklat 200 ml;6 g;160.0;6.0;24.0;4.0;0.0;45.0;0.0
Frisian flag putih (kental manis);1 g;140.0;1.0;23.0;4.0;19.0;0.0;0.0
Sedaap Kecap Manis;1 g;70.0;1.0;16.0;0.0;13.0;290.0;0.0
Outback steackhouse slow roasted prime rib;46 g;700.0;46.0;0.0;57.0;0.0;0.0;0.0
Es krim Diamond vanilla;2 g;110.0;2.0;12.0;6.0;9.0;0.0;0.0
Genjer;Tidak Diketahui;0.40 g;35.0;1.7;7.7;0.2;0.0;64.0
Taoge kacang kedelai;Tidak Diketahui;1 g;76.0;9.0;6.4;2.6;0.0;5.0
Renggi Goreng;0.60 g;471.0;4.7;64.1;21.8;0.0;126.0;6.4
Saus Char siu (chinese BBQ);0 g;60.0;0.0;14.0;0.0;13.0;0.0;0.0
Daun kedongdong;Tidak Diketahui;1.80 g;59.0;3.5;13.4;0.3;0.0;12.0
Semur jengkol;2.20 g;212.0;6.0;29.1;10.0;0.0;0.0;0.0
Chatime taro milk tea;2 g;399.0;2.0;70.0;12.0;54.5;0.0;0.0
Biokul natural set yogurt;5 g;70.0;5.0;10.0;1.0;3.0;0.0;0.0
Kambose;0.70 g;164.0;3.0;32.6;2.4;0.0;0.0;4.3
Sarden ABC saus tomat;12 g;100.0;12.0;9.0;2.0;2.0;0.0;0.0
Parede baleh;Tidak Diketahui;1.50 g;87.0;10.5;5.5;2.5;0.0;416.0
Nasi gurih;1.30 g;190.0;4.7;26.0;7.5;0.0;296.0;0.7
You C100 Orange water;0 g;160.0;0.0;40.0;0.0;40.0;0.0;0.0
Diamond Milk Susu UHT Full Cream;6 g;120.0;6.0;10.0;6.0;0.0;100.0;0.0
Kacang tolo / tunggak;3.60 g;331.0;24.4;56.6;1.9;0.0;15.0;1.6
Babi; kurus; segar;Tidak Diketahui;0.90 g;371.0;14.1;0.0;35.0
Keripik tempe abadi besar;2.80 g;556.0;15.8;39.8;37.1;0.0;0.0;3.5
Sunduk lawang;1 g;181.0;1.9;32.4;1.3;0.0;0.0;0.0
Jengkol;Tidak Diketahui;0.90 g;192.0;5.4;40.7;0.3;0.0;60.0
Ketan putih;Tidak Diketahui;0.20 g;163.0;3.0;35.7;0.4;0.0;8.0
Susu Ultra Milk Rasa coklat 1000 ml;8 g;45.0;8.0;30.0;5.0;24.0;55.0;0.0
Jagung kuning;Tidak Diketahui;1.20 g;355.0;9.2;73.7;3.9;0.0;11.0
Padamaran;0.80 g;171.0;3.9;18.8;8.9;0.0;0.0;0.0
Beras tumbuk merah;Tidak Diketahui;1 g;352.0;7.3;76.2;0.9;0.0;10.0
Karawila;0.30 g;25.0;2.3;3.5;0.2;0.0;8.0;2.1
Ikan teri nasi; mentah;Tidak Diketahui;32.40 g;144.0;32.5;0.0;0.6;0.0
Nutrisari Yuzu Orange;0 g;45.0;0.0;10.0;0.0;9.0;20.0;0.0
Sate pusut;Tidak Diketahui;2.80 g;274.0;12.9;13.6;18.6;0.0;609.0
Kue bangen;2.20 g;442.0;3.3;74.2;14.7;0.0;0.0;0.0
Burger Carl's Jr the big carl;3 g;920.0;47.0;56.0;58.0;12.0;0.0;3.0
Coklat manis batang;4.10 g;527.0;2.0;62.7;29.8;0.0;6.0;6.5
Moon tahu;0.80 g;128.0;8.0;1.3;10.0;0.0;393.0;0.2
Bakwan;2.10 g;280.0;8.2;39.0;10.2;0.0;0.0;3.4
Roti boong;1 g;341.0;5.5;43.3;16.2;0.0;161.0;0.0
nestle honey star sereal;1 g;110.0;1.0;25.0;1.0;0.0;10.0;0.0
Es krim Wall's oreo chocolate;1 g;140.0;2.0;21.0;4.0;15.0;0.0;1.0
Minyak hati hiu;0 g;902.0;0.0;0.0;100.0;0.0;0.0;0.0
Onde-onde;0.60 g;336.0;4.0;57.9;9.8;0.0;0.0;0.0
Sarimi isi 2 ayam bawang;3 g;510.0;13.0;70.0;20.0;3.0;0.0;3.0
Mie Kuah Gaga 100 Xtra Pedas  Jalapeno;9 g;120.0;9.0;43.0;13.0;2.0;1320.0;0.0
Kin bulgarian style yogurt strawberry;4 g;35.0;4.0;29.0;3.5;27.0;50.0;0.0
Lumai / leunca;Tidak Diketahui;0.50 g;38.0;1.1;7.6;0.3;0.0;2.0
Keripik tempe abadi prima;2.60 g;540.0;16.7;42.0;33.9;0.0;0.0;2.2
Hokben Chicken karaage;25 g;340.0;25.0;15.0;20.5;0.0;0.0;0.0
Kwaci;3.70 g;515.0;30.6;13.8;42.1;0.0;124.0;13.6
Sawo duren;0.60 g;64.0;1.0;8.0;3.1;0.0;13.0;0.8
Subway Turkey breast sandwich;5 g;280.0;18.0;46.0;3.5;7.0;0.0;5.0
Qtela Tempe;4 g;110.0;4.0;8.0;7.0;0.0;0.0;0.0
